keyword,canonical_form,cluster_id,freq
Machine autonomy,Machine autonomy,Machine autonomy,1
Product reliability,Product reliability,Product reliability,1
Stearic acid treatment,Stearic acid treatment,Stearic acid treatment,1
Triboelectric,Triboelectric,Triboelectric,2
artichoke by-products,artichoke by-products,artichoke by-products,1
bioactives,bioactives,bioactives,3
food additives,food additives,food additives,3
cost benefit analysis,cost benefit analysis,cost benefit analysis,2
dismantling,dismantling,dismantling,2
life cycle impact assessment,life cycle impact assessment,life cycle impact assessment,1
decision-making trial and evaluation laboratory,decision-making trial and evaluation laboratory,decision-making trial and evaluation laboratory,2
fuzzy synthetic method,fuzzy synthetic method,fuzzy synthetic method,2
hierarchical model,hierarchical model,hierarchical model,1
Radiation shielding,Radiation shielding,Radiation shielding,3
education for sustainable development (ESDG),education for sustainable development (ESDG),education for sustainable development (ESDG),1
Artificial Bee Colony algorithm,Artificial Bee Colony algorithm,Artificial Bee Colony algorithm,1
virtual age,virtual age,virtual age,1
Deep characterization techniques,Deep characterization techniques,Deep characterization techniques,1
Emerging pollutant degradation,Emerging pollutant degradation,Emerging pollutant degradation,1
Real wastewater remediation,Real wastewater remediation,Real wastewater remediation,1
Visible radiation,Visible radiation,Visible radiation,1
Consumer durables,Consumer durables,Consumer durables,2
Dynamic discrete choice model,Dynamic discrete choice model,Dynamic discrete choice model,1
Expected product lifetime,Expected product lifetime,Expected product lifetime,1
Replacement behaviour,Replacement behaviour,Replacement behaviour,1
BERT model,BERT model,BERT model,1
Business analytics,Business analytics,Business analytics,2
NACE codes,NACE codes,NACE codes,1
Text analysis,Text analysis,Text analysis,2
Proximity relations,Proximity relations,Proximity relations,2
bauxite residue,bauxite residue,bauxite residue,2
cadmium,cadmium,cadmium,3
Nano zero valent iron,Nano zero valent iron,Nano zero valent iron,1
sorption,sorption,sorption,7
alternative source of gypsum raw materials,alternative source of gypsum raw materials,alternative source of gypsum raw materials,1
gypsum binder,gypsum binder,gypsum binder,1
origin characteristics,origin characteristics,origin characteristics,1
Ammonia-rich wastewater,Ammonia-rich wastewater,Ammonia-rich wastewater,1
Fertilizer-drawn forward osmosis,Fertilizer-drawn forward osmosis,Fertilizer-drawn forward osmosis,1
OPFRs,OPFRs,OPFRs,1
Eggs,Eggs,Eggs,1
Entomophagy,Entomophagy,Entomophagy,2
Italian consumer,Italian consumer,Italian consumer,1
Poultry meat,Poultry meat,Poultry meat,1
Spatial morphology,Spatial morphology,Spatial morphology,1
Wind environment,Wind environment,Wind environment,1
Catalyst composite,Catalyst composite,Catalyst composite,1
Mesostructure,Mesostructure,Mesostructure,1
Q methodology,Q methodology,Q methodology,2
Stakeholders viewpoints,Stakeholders viewpoints,Stakeholders viewpoints,1
Recycled polymer,Recycled polymer,Recycled polymer,1
added-value products,added-value products,added-value products,1
bioreactors,bioreactors,bioreactors,3
orange peel by-products,orange peel by-products,orange peel by-products,1
solid state fermentation,solid state fermentation,solid state fermentation,2
beverages,beverages,beverages,2
deposit system,deposit system,deposit system,3
returnable packaging,returnable packaging,returnable packaging,1
Communication-based interventions,Communication-based interventions,Communication-based interventions,1
Consumer education,Consumer education,Consumer education,1
Domestic electrical appliances,Domestic electrical appliances,Domestic electrical appliances,1
Nutrients reclamation,Nutrients reclamation,Nutrients reclamation,1
Phosphorus transformation,Phosphorus transformation,Phosphorus transformation,1
Advanced technology,Advanced technology,Advanced technology,1
defatted seed cake,defatted seed cake,defatted seed cake,1
proline DES,proline DES,proline DES,1
seed oil,seed oil,seed oil,2
skincare,skincare,skincare,3
Extended lifespan,Extended lifespan,Extended lifespan,3
Advanced thermal energy technology,Advanced thermal energy technology,Advanced thermal energy technology,1
Biowaste upcycling,Biowaste upcycling,Biowaste upcycling,1
Phase change material,Phase change material,Phase change material,3
tire,tire,tire,2
Control cabinet,Control cabinet,Control cabinet,1
Electrical products,Electrical products,Electrical products,1
Mechatronic products,Mechatronic products,Mechatronic products,1
olive oil by-products,olive oil by-products,olive oil by-products,1
olive oil production,olive oil production,olive oil production,2
Techno-functional properties,Techno-functional properties,Techno-functional properties,2
Lewis acids,Lewis acids,Lewis acids,2
polyether,polyether,polyether,2
Reverse practices,Reverse practices,Reverse practices,1
Cambisols,Cambisols,Cambisols,1
Soil water retention,Soil water retention,Soil water retention,2
Vertisols,Vertisols,Vertisols,1
AgNPs,AgNPs,AgNPs,1
cellulose-based nanocomposite,cellulose-based nanocomposite,cellulose-based nanocomposite,1
dye biosorbent,dye biosorbent,dye biosorbent,1
design rules,design rules,design rules,2
Eurocode 3,Eurocode 3,Eurocode 3,2
retrofitting,retrofitting,retrofitting,3
Cost-Benefit Analysis,Cost-Benefit Analysis,Cost-Benefit Analysis,1
Automated data processing,Automated data processing,Automated data processing,1
conveyor belt,conveyor belt,conveyor belt,2
dataset,dataset,dataset,1
deep learning (DL),deep learning (DL),deep learning (DL),1
electronic waste (E-waste),electronic waste (E-waste),electronic waste (E-waste),1
hyperspectral (HS),hyperspectral (HS),hyperspectral (HS),1
machine learning (ML),machine learning (ML),machine learning (ML),1
open-source data,open-source data,open-source data,1
optical sensors,optical sensors,optical sensors,2
PCBVision,PCBVision,PCBVision,1
printed circuit board (PCB),printed circuit board (PCB),printed circuit board (PCB),1
RGB,RGB,RGB,1
Agroindustrial waste,Agroindustrial waste,Agroindustrial waste,4
Circulation utilization,Circulation utilization,Circulation utilization,1
New tire production,New tire production,New tire production,1
Waste tire pyrolysis and upgrading,Waste tire pyrolysis and upgrading,Waste tire pyrolysis and upgrading,1
Solid wastes management,Solid wastes management,Solid wastes management,1
biochar industry,biochar industry,biochar industry,1
Circular synergy,Circular synergy,Circular synergy,1
Fish waste conversion,Fish waste conversion,Fish waste conversion,1
P-graph modeling,P-graph modeling,P-graph modeling,1
Technology selection,Technology selection,Technology selection,1
balanced scorecard,balanced scorecard,balanced scorecard,1
olive oil pomace,olive oil pomace,olive oil pomace,1
Ultra-Turrax extraction,Ultra-Turrax extraction,Ultra-Turrax extraction,1
ultrasound extraction,ultrasound extraction,ultrasound extraction,1
viscoenzyme,viscoenzyme,viscoenzyme,1
circular economy capability,circular economy capability,circular economy capability,1
courier express parcel,courier express parcel,courier express parcel,1
Anaerobic co-digestión,Anaerobic co-digestión,Anaerobic co-digestión,1
Vinasse and poultry manure,Vinasse and poultry manure,Vinasse and poultry manure,1
Circular Business Model,Circular Business Model,Circular Business Model,4
Grand Challenges,Grand Challenges,Grand Challenges,1
Natural Fibers,Natural Fibers,Natural Fibers,1
Secondhand Clothing,Secondhand Clothing,Secondhand Clothing,1
Informal waste management,Informal waste management,Informal waste management,1
Environment action plan,Environment action plan,Environment action plan,1
Q01,Q01,Q01,2
Q56,Q56,Q56,3
Existing structure,Existing structure,Existing structure,1
Structural audit,Structural audit,Structural audit,1
cutinase,cutinase,cutinase,4
esterase,esterase,esterase,1
synthetic polymers,synthetic polymers,synthetic polymers,1
Fashion accessories,Fashion accessories,Fashion accessories,1
Pull tabs,Pull tabs,Pull tabs,1
Boundary object,Boundary object,Boundary object,1
Biobased polyester,Biobased polyester,Biobased polyester,1
FDCA,FDCA,FDCA,3
FDCA isomers,FDCA isomers,FDCA isomers,1
"Poly(ethylene-2,5-furanoate)","Poly(ethylene-2,5-furanoate)","Poly(ethylene-2,5-furanoate)",1
Football,Football,Football,1
Cement Mortar,Cement Mortar,Cement Mortar,2
Reclaimed fly ash,Reclaimed fly ash,Reclaimed fly ash,1
Diatom,Diatom,Diatom,2
Fucoxanthin,Fucoxanthin,Fucoxanthin,1
Metagenome,Metagenome,Metagenome,2
Transcriptome,Transcriptome,Transcriptome,1
functional unit,functional unit,functional unit,1
life cycle inventory (LCI),life cycle inventory (LCI),life cycle inventory (LCI),1
secondhand markets,secondhand markets,secondhand markets,1
diffusive gradient in thin films (DGT) technique,diffusive gradient in thin films (DGT) technique,diffusive gradient in thin films (DGT) technique,1
fertilizer granulation,fertilizer granulation,fertilizer granulation,1
P solubility,P solubility,P solubility,1
P use efficiency,P use efficiency,P use efficiency,1
P-loaded Fe oxides,P-loaded Fe oxides,P-loaded Fe oxides,1
vivianites,vivianites,vivianites,1
μ-XRF,μ-XRF,μ-XRF,1
materials in biotechnology,materials in biotechnology,materials in biotechnology,1
Agro-poultry wastes,Agro-poultry wastes,Agro-poultry wastes,1
Eggshell ash,Eggshell ash,Eggshell ash,1
Bubble formation,Bubble formation,Bubble formation,1
Oxygen mass transfer,Oxygen mass transfer,Oxygen mass transfer,1
Oxygen utilization,Oxygen utilization,Oxygen utilization,1
Nickel catalyst,Nickel catalyst,Nickel catalyst,2
Lemon,Lemon,Lemon,2
Computational Fluids Dynamic,Computational Fluids Dynamic,Computational Fluids Dynamic,1
Dual Helical Ribbon,Dual Helical Ribbon,Dual Helical Ribbon,1
Heterogeneous Fluids,Heterogeneous Fluids,Heterogeneous Fluids,1
Rheometry,Rheometry,Rheometry,1
Circular cities declaration,Circular cities declaration,Circular cities declaration,1
Circular policy transition,Circular policy transition,Circular policy transition,1
Triple-axis methodology,Triple-axis methodology,Triple-axis methodology,1
Systems thinking view,Systems thinking view,Systems thinking view,1
Carbide lime,Carbide lime,Carbide lime,1
Life-cycle cost,Life-cycle cost,Life-cycle cost,2
Minimum entropy model,Minimum entropy model,Minimum entropy model,1
Attenuation efficiency,Attenuation efficiency,Attenuation efficiency,1
Borosilicate glass,Borosilicate glass,Borosilicate glass,1
Radiation attenuation,Radiation attenuation,Radiation attenuation,1
X-ray shielding glass,X-ray shielding glass,X-ray shielding glass,1
Gypsum composites,Gypsum composites,Gypsum composites,1
AAS,AAS,AAS,1
Ore dumps,Ore dumps,Ore dumps,1
SEM–EDS,SEM–EDS,SEM–EDS,1
Tailing ponds,Tailing ponds,Tailing ponds,1
XRF,XRF,XRF,2
clay–ash composite,clay–ash composite,clay–ash composite,1
compression strength,compression strength,compression strength,1
ecological building material,ecological building material,ecological building material,1
Acidic DES pretreatment,Acidic DES pretreatment,Acidic DES pretreatment,1
Cocoa pod husk,Cocoa pod husk,Cocoa pod husk,3
Open process innovation,Open process innovation,Open process innovation,1
Open product innovation,Open product innovation,Open product innovation,1
Polynomial regression,Polynomial regression,Polynomial regression,1
Trust congruence,Trust congruence,Trust congruence,1
Aronia melanocarpa,Aronia melanocarpa,Aronia melanocarpa,1
and Mitigation strategies,and Mitigation strategies,and Mitigation strategies,1
Biological hazards,Biological hazards,Biological hazards,1
Dry sludge handlers,Dry sludge handlers,Dry sludge handlers,1
3 R’s,3 R’s,3 R’s,1
Alkaline water electrolysis,Alkaline water electrolysis,Alkaline water electrolysis,1
Proton exchange membrane water electrolysis,Proton exchange membrane water electrolysis,Proton exchange membrane water electrolysis,1
Resources curse,Resources curse,Resources curse,1
knowledge filter,knowledge filter,knowledge filter,1
knowledge spillovers,knowledge spillovers,knowledge spillovers,2
capacity investment,capacity investment,capacity investment,2
optimization modelling,optimization modelling,optimization modelling,1
circular economy models,circular economy models,circular economy models,1
environmental commitment,environmental commitment,environmental commitment,1
non-parametric DEA models,non-parametric DEA models,non-parametric DEA models,1
regional efficiency,regional efficiency,regional efficiency,1
waste collection activities,waste collection activities,waste collection activities,1
Al<sub>2</sub>O<sub>3</sub>-NPs/MWCNTs composite,Al<sub>2</sub>O<sub>3</sub>-NPs/MWCNTs composite,Al<sub>2</sub>O<sub>3</sub>-NPs/MWCNTs composite,1
Eco-sensor,Eco-sensor,Eco-sensor,1
Green-and-White analysis,Green-and-White analysis,Green-and-White analysis,1
Polymer wastes,Polymer wastes,Polymer wastes,1
Luminescent marker,Luminescent marker,Luminescent marker,1
Multi-class classification,Multi-class classification,Multi-class classification,1
NIR luminescence,NIR luminescence,NIR luminescence,1
Tracer-based sorting,Tracer-based sorting,Tracer-based sorting,1
acetalization,acetalization,acetalization,2
Starch-based,Starch-based,Starch-based,1
Centralized and decentralized treatment,Centralized and decentralized treatment,Centralized and decentralized treatment,2
Water and wastewater,Water and wastewater,Water and wastewater,2
Plastic waste trade for recycling,Plastic waste trade for recycling,Plastic waste trade for recycling,1
Plastic waste value chain,Plastic waste value chain,Plastic waste value chain,1
Economic-financial feasibility analysis,Economic-financial feasibility analysis,Economic-financial feasibility analysis,1
Footwear rubber waste,Footwear rubber waste,Footwear rubber waste,1
Interorganizational circular system,Interorganizational circular system,Interorganizational circular system,1
Solanum melongena,Solanum melongena,Solanum melongena,1
Construction demolition waste (CDW),Construction demolition waste (CDW),Construction demolition waste (CDW),1
Purposive text analysis,Purposive text analysis,Purposive text analysis,1
Systems thinking and modeling,Systems thinking and modeling,Systems thinking and modeling,1
Refurbished electronics,Refurbished electronics,Refurbished electronics,1
Sustainable consumer behaviour,Sustainable consumer behaviour,Sustainable consumer behaviour,1
Breads,Breads,Breads,1
Livers,Livers,Livers,1
Shark,Shark,Shark,1
Fracture behavior,Fracture behavior,Fracture behavior,1
Polyolefin blend,Polyolefin blend,Polyolefin blend,1
pine needles,pine needles,pine needles,1
Schiff base,Schiff base,Schiff base,1
semicarbazone,semicarbazone,semicarbazone,1
spherical nanocellulose,spherical nanocellulose,spherical nanocellulose,2
Biomonitoring,Biomonitoring,Biomonitoring,1
PBDEs,PBDEs,PBDEs,1
PCBs,PCBs,PCBs,2
Carbon Neutrality,Carbon Neutrality,Carbon Neutrality,2
Interval Valued Fermatean Fuzzy,Interval Valued Fermatean Fuzzy,Interval Valued Fermatean Fuzzy,1
Biohybrid electrocatalyst,Biohybrid electrocatalyst,Biohybrid electrocatalyst,1
Biosynthesis,Biosynthesis,Biosynthesis,3
Electroactive bacteria,Electroactive bacteria,Electroactive bacteria,1
Extracellular electron transfer,Extracellular electron transfer,Extracellular electron transfer,1
Nano-electrocatalysts,Nano-electrocatalysts,Nano-electrocatalysts,1
Battery waste recycling,Battery waste recycling,Battery waste recycling,1
MnCl<sub>2</sub>,MnCl<sub>2</sub>,MnCl<sub>2</sub>,1
ZnCl<sub>2</sub>,ZnCl<sub>2</sub>,ZnCl<sub>2</sub>,1
industrial robot,industrial robot,industrial robot,1
visual servoing,visual servoing,visual servoing,1
Policy mapping,Policy mapping,Policy mapping,1
Freshwater plants,Freshwater plants,Freshwater plants,1
Business transformation,Business transformation,Business transformation,1
anyLogistix,anyLogistix,anyLogistix,1
"Circular economy, Simulation","Circular economy, Simulation","Circular economy, Simulation",1
Intertwined supply network,Intertwined supply network,Intertwined supply network,1
Sourcing strategy,Sourcing strategy,Sourcing strategy,2
index framework,index framework,index framework,1
Qinghai-Tibet Plateau,Qinghai-Tibet Plateau,Qinghai-Tibet Plateau,1
analytical techniques,analytical techniques,analytical techniques,1
co-HTC,co-HTC,co-HTC,1
concentrated solar energy,concentrated solar energy,concentrated solar energy,1
energy analysis,energy analysis,energy analysis,2
hydrothermal humification,hydrothermal humification,hydrothermal humification,1
Manufacturing agglomeration,Manufacturing agglomeration,Manufacturing agglomeration,1
Green chelate,Green chelate,Green chelate,1
Homogeneous photocatalysis,Homogeneous photocatalysis,Homogeneous photocatalysis,1
Photo-redox,Photo-redox,Photo-redox,1
Target concentration,Target concentration,Target concentration,1
de-inked paper sludge,de-inked paper sludge,de-inked paper sludge,1
fiber-matrix interactions,fiber-matrix interactions,fiber-matrix interactions,1
recycling paper waste,recycling paper waste,recycling paper waste,1
Waste batteries,Waste batteries,Waste batteries,1
Green solvent,Green solvent,Green solvent,4
Poly(cyclic olefin),Poly(cyclic olefin),Poly(cyclic olefin),1
rigid polyurethane recycling,rigid polyurethane recycling,rigid polyurethane recycling,1
soundproofing,soundproofing,soundproofing,3
thermal insulating material,thermal insulating material,thermal insulating material,2
Table-olive grove,Table-olive grove,Table-olive grove,1
Copper sulfate crystallization,Copper sulfate crystallization,Copper sulfate crystallization,1
Membrane crystallization (MCr),Membrane crystallization (MCr),Membrane crystallization (MCr),1
Metal and water recovery,Metal and water recovery,Metal and water recovery,1
Microporous hydrophobic membranes,Microporous hydrophobic membranes,Microporous hydrophobic membranes,1
Pregnant leach solutions,Pregnant leach solutions,Pregnant leach solutions,1
work integration social enterprises (WISEs),work integration social enterprises (WISEs),work integration social enterprises (WISEs),1
Deicing fluid,Deicing fluid,Deicing fluid,1
External carbon source,External carbon source,External carbon source,1
Wastewater process modeling,Wastewater process modeling,Wastewater process modeling,1
climate change adaptation,climate change adaptation,climate change adaptation,6
coral reefs,coral reefs,coral reefs,1
ecological restoration,ecological restoration,ecological restoration,1
green infrastructure,green infrastructure,green infrastructure,4
hybrid infrastructure,hybrid infrastructure,hybrid infrastructure,1
mangroves,mangroves,mangroves,1
sand beaches,sand beaches,sand beaches,1
seagrass meadows,seagrass meadows,seagrass meadows,1
small island developing states,small island developing states,small island developing states,1
urban coastal habitats,urban coastal habitats,urban coastal habitats,1
corporate green behavior,corporate green behavior,corporate green behavior,1
evolutionary game,evolutionary game,evolutionary game,2
regional,regional,regional,2
rural,rural,rural,2
Lithium-ion battery waste,Lithium-ion battery waste,Lithium-ion battery waste,1
battery life cycle,battery life cycle,battery life cycle,2
battery passport,battery passport,battery passport,2
mobile applications,mobile applications,mobile applications,1
remaining useful life,remaining useful life,remaining useful life,2
Friction materials,Friction materials,Friction materials,1
mine liquidation,mine liquidation,mine liquidation,1
renewable sources of energy,renewable sources of energy,renewable sources of energy,1
revitalization of post-mining areas,revitalization of post-mining areas,revitalization of post-mining areas,1
archetype development,archetype development,archetype development,1
LiDAR analysis,LiDAR analysis,LiDAR analysis,1
methodological framework,methodological framework,methodological framework,2
urban building energy modeling,urban building energy modeling,urban building energy modeling,1
smart city,smart city,smart city,11
urban management,urban management,urban management,1
Acid Adsorbents,Acid Adsorbents,Acid Adsorbents,1
Air Pollution,Air Pollution,Air Pollution,2
Hydrothermal Carbonization,Hydrothermal Carbonization,Hydrothermal Carbonization,2
Odour Contamination,Odour Contamination,Odour Contamination,1
Pyrochars,Pyrochars,Pyrochars,1
Cicular economy,Cicular economy,Cicular economy,1
Easy to scale up,Easy to scale up,Easy to scale up,1
High purity ionic liquid,High purity ionic liquid,High purity ionic liquid,1
Ocean-bound plastic (OBP),Ocean-bound plastic (OBP),Ocean-bound plastic (OBP),1
Polycarbonate (PC),Polycarbonate (PC),Polycarbonate (PC),1
Recycled-polyethylene terephthalate (re-PET),Recycled-polyethylene terephthalate (re-PET),Recycled-polyethylene terephthalate (re-PET),1
Sustainable electronic device covers,Sustainable electronic device covers,Sustainable electronic device covers,1
Craft beer residue,Craft beer residue,Craft beer residue,1
Kinetic triplet,Kinetic triplet,Kinetic triplet,1
Thermodynamic parameters,Thermodynamic parameters,Thermodynamic parameters,2
Olive mill solid wastes,Olive mill solid wastes,Olive mill solid wastes,1
Plant physiology,Plant physiology,Plant physiology,1
Secondary metabolism,Secondary metabolism,Secondary metabolism,1
Advancements,Advancements,Advancements,1
Environmental challenges,Environmental challenges,Environmental challenges,1
Paint industry wastewater,Paint industry wastewater,Paint industry wastewater,1
Regulatory compliance,Regulatory compliance,Regulatory compliance,2
Treatment technology,Treatment technology,Treatment technology,1
Product-labelling,Product-labelling,Product-labelling,1
Ancient practices,Ancient practices,Ancient practices,1
Step wells,Step wells,Step wells,1
Drop tube furnace,Drop tube furnace,Drop tube furnace,1
Isothermal flow reactor,Isothermal flow reactor,Isothermal flow reactor,1
TG,TG,TG,1
Electric motors,Electric motors,Electric motors,1
Quality of working life,Quality of working life,Quality of working life,1
Self-employment,Self-employment,Self-employment,2
Digital Product Passport,Digital Product Passport,Digital Product Passport,1
Layton's theory,Layton's theory,Layton's theory,1
marketing interfaces,marketing interfaces,marketing interfaces,1
marketing system,marketing system,marketing system,1
sustainable food marketing,sustainable food marketing,sustainable food marketing,1
Algae/gelatine synergism,Algae/gelatine synergism,Algae/gelatine synergism,1
Digestate pyrolysis,Digestate pyrolysis,Digestate pyrolysis,1
Fermentation stoichiometry,Fermentation stoichiometry,Fermentation stoichiometry,1
Green biofuel,Green biofuel,Green biofuel,1
Metal photodeposition,Metal photodeposition,Metal photodeposition,1
Mildly acidic leaching,Mildly acidic leaching,Mildly acidic leaching,1
Palladium recovery,Palladium recovery,Palladium recovery,1
Air-conditioner,Air-conditioner,Air-conditioner,1
Geotechnical applications,Geotechnical applications,Geotechnical applications,1
IBA,IBA,IBA,3
Praseodymium,Praseodymium,Praseodymium,1
Peptides,Peptides,Peptides,2
co-processing,co-processing,co-processing,2
gamma spectrometry,gamma spectrometry,gamma spectrometry,1
principal component analysis,principal component analysis,principal component analysis,3
Agrifood Value Chains,Agrifood Value Chains,Agrifood Value Chains,1
Circular Agriculture,Circular Agriculture,Circular Agriculture,1
Small-scale Farming,Small-scale Farming,Small-scale Farming,1
Sustainable Agriculture,Sustainable Agriculture,Sustainable Agriculture,1
Design For Deconstruction,Design For Deconstruction,Design For Deconstruction,1
Multiple use cycles,Multiple use cycles,Multiple use cycles,1
Value retention process,Value retention process,Value retention process,1
Action Plan,Action Plan,Action Plan,1
Client,Client,Client,1
Consultant,Consultant,Consultant,1
Contractor,Contractor,Contractor,2
Mixed method,Mixed method,Mixed method,1
Capital accumulation,Capital accumulation,Capital accumulation,1
Multisource waste,Multisource waste,Multisource waste,1
carbon polishing,carbon polishing,carbon polishing,1
heterotrophs,heterotrophs,heterotrophs,1
nitrogen retention,nitrogen retention,nitrogen retention,1
Food Packaging,Food Packaging,Food Packaging,2
pollution control,pollution control,pollution control,2
upgrading,upgrading,upgrading,2
Lignocellulosic green wastes vermicompost,Lignocellulosic green wastes vermicompost,Lignocellulosic green wastes vermicompost,1
charge modification,charge modification,charge modification,1
polyester degradation,polyester degradation,polyester degradation,1
protein engineering,protein engineering,protein engineering,4
substrate affinity,substrate affinity,substrate affinity,1
Illegal disposal,Illegal disposal,Illegal disposal,1
Root cause analysis,Root cause analysis,Root cause analysis,1
And EML loss,And EML loss,And EML loss,1
Effective area,Effective area,Effective area,1
Food sensor,Food sensor,Food sensor,1
H-PCF,H-PCF,H-PCF,1
Terahertz band,Terahertz band,Terahertz band,1
black mass,black mass,black mass,3
fluidization,fluidization,fluidization,1
mixed secondary fuel,mixed secondary fuel,mixed secondary fuel,1
refuse-derived fuel,refuse-derived fuel,refuse-derived fuel,3
Chitin extraction,Chitin extraction,Chitin extraction,1
Material flow analyses,Material flow analyses,Material flow analyses,1
Road construction and maintenance materials,Road construction and maintenance materials,Road construction and maintenance materials,1
Stock and flow accounting approaches,Stock and flow accounting approaches,Stock and flow accounting approaches,1
Biomass recycling,Biomass recycling,Biomass recycling,1
Coffee capsules,Coffee capsules,Coffee capsules,1
End-of-life recyclability,End-of-life recyclability,End-of-life recyclability,1
Environmental and Sustainability Policy,Environmental and Sustainability Policy,Environmental and Sustainability Policy,1
Recycle system,Recycle system,Recycle system,1
Trade-Online-Deliver-Offline Mode,Trade-Online-Deliver-Offline Mode,Trade-Online-Deliver-Offline Mode,1
Unwanted medicines,Unwanted medicines,Unwanted medicines,1
floating trash barrier,floating trash barrier,floating trash barrier,1
multicircularity,multicircularity,multicircularity,1
Noise barrier,Noise barrier,Noise barrier,1
business model patterns,business model patterns,business model patterns,1
fast-moving consumer goods,fast-moving consumer goods,fast-moving consumer goods,1
Brassica oleracea,Brassica oleracea,Brassica oleracea,1
green technologies isothiocyanates,green technologies isothiocyanates,green technologies isothiocyanates,1
kinetic modeling,kinetic modeling,kinetic modeling,2
Acid ethanoic,Acid ethanoic,Acid ethanoic,1
Aqueous solutions,Aqueous solutions,Aqueous solutions,1
Solid-liquid extraction,Solid-liquid extraction,Solid-liquid extraction,6
Membrane-based processes,Membrane-based processes,Membrane-based processes,1
Polish incineration plants,Polish incineration plants,Polish incineration plants,1
R1 formula,R1 formula,R1 formula,1
waste incineration,waste incineration,waste incineration,4
Poly(butylene succinate-co-adipate),Poly(butylene succinate-co-adipate),Poly(butylene succinate-co-adipate),2
Bacterial inactivation,Bacterial inactivation,Bacterial inactivation,1
Iron complex,Iron complex,Iron complex,1
Natural Organic Acids,Natural Organic Acids,Natural Organic Acids,1
Photo-Fenton process,Photo-Fenton process,Photo-Fenton process,1
Solar disinfection (SODIS),Solar disinfection (SODIS),Solar disinfection (SODIS),1
Cold recycling,Cold recycling,Cold recycling,2
Municipal waste incineration,Municipal waste incineration,Municipal waste incineration,1
Road pavements,Road pavements,Road pavements,1
Algal membrane photobioreactor,Algal membrane photobioreactor,Algal membrane photobioreactor,1
Digital platform,Digital platform,Digital platform,5
Food recovery,Food recovery,Food recovery,2
Cultural ecosystem services,Cultural ecosystem services,Cultural ecosystem services,1
Motivations for use,Motivations for use,Motivations for use,1
Recreational experience preference scales,Recreational experience preference scales,Recreational experience preference scales,1
Chemical Leasing (ChL),Chemical Leasing (ChL),Chemical Leasing (ChL),1
ChL pricing,ChL pricing,ChL pricing,1
dilution,dilution,dilution,1
industrial symbiosis (IS),industrial symbiosis (IS),industrial symbiosis (IS),4
information completeness,information completeness,information completeness,1
Kullback–Leibler Divergence (D<sub>KL</sub>),Kullback–Leibler Divergence (D<sub>KL</sub>),Kullback–Leibler Divergence (D<sub>KL</sub>),1
market dominance,market dominance,market dominance,1
market typology,market typology,market typology,1
Sherwood Plot (SP),Sherwood Plot (SP),Sherwood Plot (SP),1
synergies,synergies,synergies,4
Value-Added Compound (VAC),Value-Added Compound (VAC),Value-Added Compound (VAC),1
Knowledge-based view,Knowledge-based view,Knowledge-based view,1
Supply chain circular economy,Supply chain circular economy,Supply chain circular economy,1
Agrochemicals,Agrochemicals,Agrochemicals,1
adaptation,adaptation,adaptation,6
livelihood,livelihood,livelihood,1
Indicators of circular economy,Indicators of circular economy,Indicators of circular economy,1
Monitoring circularity,Monitoring circularity,Monitoring circularity,1
Olive oil industry,Olive oil industry,Olive oil industry,2
Ukraine conflict,Ukraine conflict,Ukraine conflict,1
Children's products,Children's products,Children's products,1
Product care,Product care,Product care,1
Product hibernation,Product hibernation,Product hibernation,1
multi-robot,multi-robot,multi-robot,1
task planner,task planner,task planner,1
Menstrual Hygiene,Menstrual Hygiene,Menstrual Hygiene,1
Sanitary pad,Sanitary pad,Sanitary pad,1
Segregation,Segregation,Segregation,1
Super absorbent polymer (SAP),Super absorbent polymer (SAP),Super absorbent polymer (SAP),1
Circular economy indices,Circular economy indices,Circular economy indices,1
Socio-ecological systems,Socio-ecological systems,Socio-ecological systems,1
recycled concrete,recycled concrete,recycled concrete,4
recycling system,recycling system,recycling system,1
acoustic screens,acoustic screens,acoustic screens,2
FEM analysis,FEM analysis,FEM analysis,2
saving energy,saving energy,saving energy,1
structural behavior,structural behavior,structural behavior,1
turbine blades,turbine blades,turbine blades,1
circular economy innovation,circular economy innovation,circular economy innovation,3
circular public procurement,circular public procurement,circular public procurement,2
procedural instrument,procedural instrument,procedural instrument,1
public procurement for innovation,public procurement for innovation,public procurement for innovation,2
battery price index,battery price index,battery price index,1
battery pricing,battery pricing,battery pricing,1
electric vehicle pricing,electric vehicle pricing,electric vehicle pricing,1
second-hand vehicle market,second-hand vehicle market,second-hand vehicle market,1
second-life batteries,second-life batteries,second-life batteries,4
Filtration performance,Filtration performance,Filtration performance,1
High-rate membrane bioreactor,High-rate membrane bioreactor,High-rate membrane bioreactor,1
Sludge retention time,Sludge retention time,Sludge retention time,1
Textile wastewater,Textile wastewater,Textile wastewater,1
Ancillary services,Ancillary services,Ancillary services,2
Battery energy storage systems,Battery energy storage systems,Battery energy storage systems,1
Battery minerals,Battery minerals,Battery minerals,1
Electricity markets,Electricity markets,Electricity markets,1
Policy analytics,Policy analytics,Policy analytics,1
multisided markets,multisided markets,multisided markets,1
network effects,network effects,network effects,1
business process reengineering,business process reengineering,business process reengineering,1
plan-do-check-act model,plan-do-check-act model,plan-do-check-act model,1
sustainability in manufacturing processes,sustainability in manufacturing processes,sustainability in manufacturing processes,1
waste management practices,waste management practices,waste management practices,1
Actor roles,Actor roles,Actor roles,1
